id,recruiter_id,message
3340,23,"<p>Hi [talent_name],</p><p>We are looking for a part-time developer to join our marketing team to work on open source projects and general developer advocacy.  </p><p>Would love to talk to you a bit more about the role, if you are interested!</p><p>Best,</p><p>recruitername</p><p>​</p>"
3263,23,"<p>Hi [talent_name],</p><p>Would love to chat to you about the Head of Product Role here at Honeypot.</p><p>Let me know when you are available! </p><p>Best,</p><p>recruitername</p><p>​</p>"
2869,23,"<p>Hi [talent_name],</p><p><span style=""font-size: 0.875rem;"">I think you fit really well to the role and would love to tell you more about the challenges we are working on. </span></p><p><span style=""font-size: 0.875rem;"">Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! </span><br></p><p>Would you be interested in chatting about the position? </p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>"
3094,23,"<p>Hi [talent_name],</p><p>How do you feel about diving into Ember? </p><p><span style=""font-size: 0.875rem;"">We are looking for a frontend developer to join our team! </span></p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>"
2809,23,"<p>Hi [talent_name],</p><p>I see that the majority of your experience is with Angular and Node. </p><p>​</p>"
3054,23,"<p>Hi [talent_name],</p><p>​We are looking for VP of Engineering. </p><p>Best,</p><p>recruitername </p>"
2531,834,"<p>Hi [talent_name],</p><p>We are looking for a frontend developer with Ember experience, a love of digging into CSS details and a passion for great UI to join our team. </p><p>You seem like you are great fit and we would love to get to know you more!</p><p>Looking forward to chatting!</p><p>Best,</p><p>recruitername</p>"
2522,834,"<p>Hi [talent_name],</p><p>​We are super ambitious about where Honeypot will go. We want to build a frictionless experience for both developers and recruiters in finding their perfect match. To do this, we believe we have to build smart algorithms which personalize the discovery of jobs for each user. </p><p>We are a small team and we have a long way to go, so we want someone who is curious, pragmatic and believes they can make an impact. Looking at your profile, you seem to be a great fit and we would love to chat further! </p><p>Hoping to talk soon!</p><p>Best,</p><p>recruitername </p>"
2248,834,"<p>Hi [talent_name],</p><p>​SHARE!</p>"
2157,834,"<p>Hi [talent_name],</p><p>​We see you are into Ruby :). So do we!<br><br>​At Honeypot we are excited about technology and its application in solving real life problems. <br><br>Our challenges are: <br>* creating the tools/technology of tomorrow for finding every developer his perfect team/challenge<br>* making finding of the next great challenge close to effortless<br>* incrementally increasing speed of development by improving code maintainability and reusability<br><br><br>In case you would like to know more, we would love to hear from you!<br><br>Regards,<br>recruitername</p>"
4810,3688,"<p>Hi [talent_name],</p><p>​​We are currently seeking a senior back-end developer to lead of back-end devs here at Honeypot, and we would love to arrange a video call to discuss the position with you. <br><br>Our stack is Ruby and Rust for backend and for Frontend we use Emeberjs as a framework. <br><br>If you are interested please let me know a few times for next week you would be available.<br><br>The video call would be conducted via hangouts. <br><br>Kindest,<br><br>recruitername</p>"
4657,3688,"<p>Hi [talent_name],</p><p>My name is recruitername and I lead the People Ops team at Honeypot. <br><br>We are looking for a full-stack developer to join our Search team, and your profile was a delight to review! <br><br>If the role described above sparks your interest, I'd love to set up a video call over google hangouts to get to know each other. <br><br></p><p>Let me know!<br>recruitername </p>"
3990,3688,"<p>Hi [talent_name],</p><p>​We are currently seeking a Sr. Frontend Developer here at Honeypot, and we would love to arrange a video call to discuss the position with you. <br><br>Our stack is Ruby and Rust for backend and for Frontend we use Emeberjs as a framework. <br><br>If you are interested please let me know a few times this week, or early next week you would be available.<br><br>The video call would be conducted via hangouts. <br><br>Kindest, </p><p>recruitername<br><br></p>"
3885,3688,"<p>Hi [talent_name],</p><p>​We are currently seeking a Senior Data Scientist here at Honeypot, and we would love to arrange a video call to discuss the position with you!<br><br>If you are interested please let me know a few times this week, or early next week you would be available.<br><br>The video call would be conducted via hangouts. <br><br>Kindest, <br><br><br><br>recruitername </p>"
3668,3688,"<p>Hi [talent_name],</p><p>We are currently looking for a senior product manager here at Honeypot. </p><p>If you are interested I would love to arrange a short video call. </p><p>Kindest, </p><p>recruitername </p>"
